Created as New Dataset;Sample 005 By Administrator Date maandag, maart 02 2026
cm-1;%T
4000,00;99,13
3999,00;99,12
3998,00;99,11
3997,00;99,10
3996,00;99,11
3995,00;99,12
3994,00;99,14
3993,00;99,15
3992,00;99,17
3991,00;99,17
3990,00;99,16
3989,00;99,15
3988,00;99,14
3987,00;99,12
3986,00;99,11
3985,00;99,10
3984,00;99,10
3983,00;99,10
3982,00;99,09
3981,00;99,08
3980,00;99,07
3979,00;99,07
3978,00;99,06
3977,00;99,05
3976,00;99,05
3975,00;99,06
3974,00;99,07
3973,00;99,09
3972,00;99,10
3971,00;99,11
3970,00;99,11
3969,00;99,11
3968,00;99,11
3967,00;99,12
3966,00;99,11
3965,00;99,11
3964,00;99,10
3963,00;99,09
3962,00;99,08
3961,00;99,07
3960,00;99,05
3959,00;99,05
3958,00;99,06
3957,00;99,07
3956,00;99,09
3955,00;99,10
3954,00;99,10
3953,00;99,09
3952,00;99,08
3951,00;99,08
3950,00;99,10
3949,00;99,12
3948,00;99,13
3947,00;99,12
3946,00;99,10
3945,00;99,08
3944,00;99,08
3943,00;99,11
3942,00;99,15
3941,00;99,17
3940,00;99,16
3939,00;99,14
3938,00;99,12
3937,00;99,10
3936,00;99,08
3935,00;99,06
3934,00;99,04
3933,00;99,03
3932,00;99,04
3931,00;99,05
3930,00;99,08
3929,00;99,09
3928,00;99,09
3927,00;99,08
3926,00;99,06
3925,00;99,05
3924,00;99,06
3923,00;99,08
3922,00;99,08
3921,00;99,08
3920,00;99,08
3919,00;99,08
3918,00;99,09
3917,00;99,11
3916,00;99,13
3915,00;99,14
3914,00;99,14
3913,00;99,13
3912,00;99,12
3911,00;99,11
3910,00;99,11
3909,00;99,09
3908,00;99,06
3907,00;99,04
3906,00;99,02
3905,00;99,02
3904,00;99,04
3903,00;99,07
3902,00;99,07
3901,00;99,07
3900,00;99,07
3899,00;99,08
3898,00;99,08
3897,00;99,06
3896,00;99,03
3895,00;99,01
3894,00;99,00
3893,00;99,02
3892,00;99,05
3891,00;99,09
3890,00;99,11
3889,00;99,10
3888,00;99,06
3887,00;99,04
3886,00;99,04
3885,00;99,06
3884,00;99,07
3883,00;99,06
3882,00;99,06
3881,00;99,08
3880,00;99,12
3879,00;99,12
3878,00;99,09
3877,00;99,04
3876,00;99,02
3875,00;99,04
3874,00;99,07
3873,00;99,09
3872,00;99,08
3871,00;99,05
3870,00;99,04
3869,00;99,04
3868,00;99,03
3867,00;99,00
3866,00;98,99
3865,00;99,02
3864,00;99,08
3863,00;99,14
3862,00;99,15
3861,00;99,14
3860,00;99,10
3859,00;99,06
3858,00;99,03
3857,00;99,01
3856,00;98,99
3855,00;98,96
3854,00;98,94
3853,00;98,95
3852,00;98,97
3851,00;98,96
3850,00;98,97
3849,00;99,00
3848,00;99,03
3847,00;99,04
3846,00;99,04
3845,00;99,04
3844,00;99,04
3843,00;99,05
3842,00;99,05
3841,00;99,03
3840,00;99,01
3839,00;98,99
3838,00;99,00
3837,00;99,02
3836,00;99,03
3835,00;99,03
3834,00;99,02
3833,00;99,01
3832,00;99,00
3831,00;98,98
3830,00;98,97
3829,00;98,97
3828,00;98,98
3827,00;99,00
3826,00;99,03
3825,00;99,03
3824,00;99,02
3823,00;98,99
3822,00;98,97
3821,00;98,98
3820,00;98,98
3819,00;98,96
3818,00;98,92
3817,00;98,92
3816,00;98,95
3815,00;98,99
3814,00;99,01
3813,00;99,00
3812,00;99,00
3811,00;99,00
3810,00;98,98
3809,00;98,95
3808,00;98,92
3807,00;98,92
3806,00;98,92
3805,00;98,91
3804,00;98,89
3803,00;98,88
3802,00;98,89
3801,00;98,91
3800,00;98,92
3799,00;98,90
3798,00;98,89
3797,00;98,91
3796,00;98,95
3795,00;98,98
3794,00;98,98
3793,00;98,97
3792,00;98,97
3791,00;98,97
3790,00;98,96
3789,00;98,93
3788,00;98,90
3787,00;98,88
3786,00;98,88
3785,00;98,91
3784,00;98,94
3783,00;98,96
3782,00;98,96
3781,00;98,94
3780,00;98,92
3779,00;98,90
3778,00;98,88
3777,00;98,85
