Created as New Dataset;Sample 009 By Administrator Date maandag, maart 02 2026
cm-1;%T
3650,00;97,79
3649,00;97,69
3648,00;97,79
3647,00;97,92
3646,00;97,94
3645,00;97,90
3644,00;97,88
3643,00;97,89
3642,00;97,92
3641,00;97,97
3640,00;98,01
3639,00;98,02
3638,00;98,01
3637,00;97,99
3636,00;97,99
3635,00;97,97
3634,00;97,92
3633,00;97,82
3632,00;97,67
3631,00;97,51
3630,00;97,39
3629,00;97,39
3628,00;97,48
3627,00;97,59
3626,00;97,67
3625,00;97,71
3624,00;97,73
3623,00;97,73
3622,00;97,73
3621,00;97,74
3620,00;97,78
3619,00;97,84
3618,00;97,87
3617,00;97,85
3616,00;97,78
3615,00;97,68
3614,00;97,59
3613,00;97,51
3612,00;97,43
3611,00;97,36
3610,00;97,35
3609,00;97,44
3608,00;97,62
3607,00;97,81
3606,00;97,93
3605,00;97,97
3604,00;97,97
3603,00;97,98
3602,00;97,98
3601,00;97,97
3600,00;97,95
3599,00;97,93
3598,00;97,92
3597,00;97,93
3596,00;97,96
3595,00;97,98
3594,00;97,98
3593,00;97,93
3592,00;97,85
3591,00;97,75
3590,00;97,67
3589,00;97,64
3588,00;97,66
3587,00;97,75
3586,00;97,83
3585,00;97,87
3584,00;97,88
3583,00;97,89
3582,00;97,90
3581,00;97,92
3580,00;97,93
3579,00;97,95
3578,00;97,96
3577,00;97,97
3576,00;97,98
3575,00;97,98
3574,00;97,98
3573,00;97,96
3572,00;97,93
3571,00;97,91
3570,00;97,92
3569,00;97,95
3568,00;97,97
3567,00;97,98
3566,00;97,99
3565,00;97,99
3564,00;97,96
3563,00;97,93
3562,00;97,93
3561,00;97,95
3560,00;97,99
3559,00;98,03
3558,00;98,04
3557,00;98,04
3556,00;98,01
3555,00;97,98
3554,00;97,96
3553,00;97,96
3552,00;97,98
3551,00;97,97
3550,00;97,94
3549,00;97,88
3548,00;97,83
3547,00;97,78
3546,00;97,75
3545,00;97,76
3544,00;97,81
3543,00;97,87
3542,00;97,91
3541,00;97,94
3540,00;97,94
3539,00;97,94
3538,00;97,93
3537,00;97,92
3536,00;97,93
3535,00;97,95
3534,00;97,97
3533,00;97,96
3532,00;97,94
3531,00;97,91
3530,00;97,88
3529,00;97,87
3528,00;97,83
3527,00;97,79
3526,00;97,74
3525,00;97,71
3524,00;97,74
3523,00;97,81
3522,00;97,90
3521,00;97,97
3520,00;98,00
3519,00;98,01
3518,00;98,01
3517,00;98,02
3516,00;98,04
3515,00;98,05
3514,00;98,05
3513,00;98,03
3512,00;98,00
3511,00;97,96
3510,00;97,94
3509,00;97,95
3508,00;97,97
3507,00;97,97
3506,00;97,96
3505,00;97,92
3504,00;97,88
3503,00;97,86
3502,00;97,87
3501,00;97,90
3500,00;97,94
3499,00;97,97
3498,00;97,99
3497,00;98,01
3496,00;98,03
3495,00;98,05
3494,00;98,07
3493,00;98,08
3492,00;98,06
3491,00;98,05
3490,00;98,04
3489,00;98,04
3488,00;98,05
3487,00;98,04
3486,00;98,03
3485,00;98,01
3484,00;98,01
3483,00;98,00
3482,00;98,01
3481,00;98,02
3480,00;98,03
3479,00;98,05
3478,00;98,06
3477,00;98,07
3476,00;98,08
3475,00;98,08
3474,00;98,07
3473,00;98,06
3472,00;98,06
3471,00;98,07
3470,00;98,08
3469,00;98,09
3468,00;98,10
3467,00;98,10
3466,00;98,09
3465,00;98,07
3464,00;98,06
3463,00;98,06
3462,00;98,06
3461,00;98,07
3460,00;98,07
3459,00;98,06
3458,00;98,06
3457,00;98,07
3456,00;98,07
3455,00;98,08
3454,00;98,08
3453,00;98,09
3452,00;98,09
3451,00;98,09
3450,00;98,08
3449,00;98,06
3448,00;98,03
3447,00;98,01
3446,00;98,00
3445,00;98,00
3444,00;98,00
3443,00;98,02
3442,00;98,04
3441,00;98,06
3440,00;98,09
3439,00;98,10
3438,00;98,11
3437,00;98,12
3436,00;98,12
3435,00;98,12
3434,00;98,11
3433,00;98,11
3432,00;98,11
3431,00;98,10
3430,00;98,10
3429,00;98,10
3428,00;98,10
3427,00;98,10
3426,00;98,09
3425,00;98,07
3424,00;98,04
3423,00;98,01
3422,00;97,99
3421,00;97,98
3420,00;97,99
3419,00;98,00
3418,00;98,02
3417,00;98,04
3416,00;98,05
