Created as New Dataset;Sample 006 By Administrator Date maandag, maart 02 2026
cm-1;%T
3650,00;90,64
3649,00;90,41
3648,00;90,20
3647,00;90,01
3646,00;89,84
3645,00;89,69
3644,00;89,56
3643,00;89,43
3642,00;89,30
3641,00;89,15
3640,00;88,99
3639,00;88,81
3638,00;88,63
3637,00;88,45
3636,00;88,29
3635,00;88,13
3634,00;87,99
3633,00;87,86
3632,00;87,75
3631,00;87,64
3630,00;87,49
3629,00;87,28
3628,00;87,06
3627,00;86,87
3626,00;86,74
3625,00;86,63
3624,00;86,52
3623,00;86,41
3622,00;86,30
3621,00;86,17
3620,00;86,04
3619,00;85,89
3618,00;85,73
3617,00;85,58
3616,00;85,44
3615,00;85,30
3614,00;85,15
3613,00;85,01
3612,00;84,88
3611,00;84,76
3610,00;84,64
3609,00;84,52
3608,00;84,37
3607,00;84,22
3606,00;84,09
3605,00;83,96
3604,00;83,84
3603,00;83,70
3602,00;83,56
3601,00;83,40
3600,00;83,26
3599,00;83,13
3598,00;83,02
3597,00;82,92
3596,00;82,81
3595,00;82,68
3594,00;82,53
3593,00;82,37
3592,00;82,22
3591,00;82,09
3590,00;81,96
3589,00;81,82
3588,00;81,65
3587,00;81,46
3586,00;81,28
3585,00;81,12
3584,00;80,98
3583,00;80,85
3582,00;80,73
3581,00;80,61
3580,00;80,47
3579,00;80,31
3578,00;80,14
3577,00;79,99
3576,00;79,84
3575,00;79,70
3574,00;79,56
3573,00;79,44
3572,00;79,32
3571,00;79,22
3570,00;79,11
3569,00;78,98
3568,00;78,81
3567,00;78,60
3566,00;78,40
3565,00;78,23
3564,00;78,08
3563,00;77,93
3562,00;77,79
3561,00;77,65
3560,00;77,52
3559,00;77,38
3558,00;77,23
3557,00;77,07
3556,00;76,89
3555,00;76,72
3554,00;76,56
3553,00;76,41
3552,00;76,26
3551,00;76,12
3550,00;76,00
3549,00;75,87
3548,00;75,73
3547,00;75,56
3546,00;75,35
3545,00;75,15
3544,00;74,96
3543,00;74,79
3542,00;74,65
3541,00;74,51
3540,00;74,38
3539,00;74,24
3538,00;74,08
3537,00;73,91
3536,00;73,74
