#Wave		#Intensity
3501.405273	1680.466309
3500.167969	1644.110107
3498.929688	1738.712769
3497.691406	1685.890625
3496.453125	1697.685059
3495.213867	1711.493164
3493.975586	1646.598267
3492.736328	1630.148071
3491.497070	1629.840942
3490.256836	1613.399902
3489.017578	1663.505249
3487.777344	1647.063843
3486.537109	1618.535034
3485.296875	1656.519409
3484.055664	1732.771606
3482.814453	1669.996460
3481.573242	1697.878906
3480.332031	1612.983032
3479.089844	1660.998901
3477.848633	1682.828247
3476.606445	1702.636841
3475.363281	1708.352417
3474.121094	1651.699463
3472.877930	1589.033569
3471.634766	1717.441406
3470.391602	1648.754517
3469.147461	1759.010010
3467.904297	1613.964111
3466.660156	1593.564331
3465.416016	1703.767456
3464.170898	1657.244141
3462.926758	1578.603760
3461.681641	1576.297974
3460.436523	1684.413330
3459.190430	1756.356934
3457.945313	1663.708740
3456.699219	1737.635620
3455.453125	1667.093140
3454.206055	1676.807251
3452.959961	1656.437012
3451.712891	1654.119263
3450.465820	1766.065430
3449.218750	1619.422852
3447.970703	1534.954956
3446.722656	1624.821777
3445.474609	1576.440552
3444.226563	1644.235352
3442.978516	1611.887329
3441.729492	1689.659546
3440.480469	1621.286499
3439.231445	1691.022583
3437.981445	1606.668213
3436.731445	1538.349243
3435.481445	1648.062744
3434.231445	1637.752808
3432.981445	1681.428467
3431.730469	1637.133911
3430.479492	1608.844727
3429.228516	1582.564209
3427.977539	1722.111694
3426.725586	1623.912109
3425.473633	1607.628662
3424.221680	1623.298218
3422.969727	1583.065308
3421.716797	1652.623291
3420.463867	1582.466675
3419.210938	1618.080444
3417.958008	1727.487915
3416.704102	1619.462891
3415.450195	1581.270020
3414.196289	1614.863037
3412.942383	1632.497192
3411.687500	1606.280640
3410.433594	1582.066406
3409.178711	1667.429565
3407.922852	1537.648804
3406.667969	1628.962036
3405.412109	1630.644775
3404.156250	1540.757324
3402.900391	1683.764893
3401.643555	1633.698975
3400.386719	1545.851196
3399.129883	1611.200073
3397.873047	1604.928711
3396.616211	1598.659790
3395.358398	1612.273071
3394.100586	1631.844116
3392.842773	1639.484131
3391.583984	1613.344238
3390.326172	1575.295288
3389.067383	1658.414185
3387.808594	1677.957520
3386.548828	1614.107788
3385.289063	1595.937012
3384.030273	1587.696167
3382.769531	1541.757813
3381.509766	1593.046265
3380.249023	1553.074585
3378.988281	1594.425659
3377.727539	1623.864624
3376.466797	1556.156494
3375.205078	1504.329834
3373.943359	1593.217285
3372.681641	1545.365601
3371.419922	1547.053467
3370.157227	1540.818726
3368.894531	1536.566406
3367.631836	1548.153442
3366.369141	1543.901123
3365.105469	1531.734497
3363.842773	1497.807617
3362.578125	1550.935913
3361.314453	1578.331787
3360.050781	1534.527710
3358.786133	1589.595703
3357.521484	1531.968872
3356.255859	1492.151001
3354.991211	1590.667114
3353.725586	1560.731079
3352.459961	1562.410156
3351.194336	1583.837158
3349.927734	1555.893799
3348.661133	1470.711792
3347.394531	1569.119385
3346.127930	1493.833740
